,Alanine,"Alcohol, ethyl",Amino acids,Arginine,Ash,Aspartic acid,Betaine,Caffeine,"Calcium, Ca","Carbohydrate, by difference",Carbohydrates,"Carotene, alpha","Carotene, beta",Cholesterol,"Choline, total","Copper, Cu","Cryptoxanthin, beta",Cystine,Energy,Energy (Atwater General Factors),Energy (Atwater Specific Factors),"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated","Fatty acids, total trans","Fatty acids, total trans-monoenoic","Fatty acids, total trans-polyenoic","Fiber, total dietary","Folate, DFE","Folate, food","Folate, total",Folic acid,Fructose,Galactose,Glucose,Glutamic acid,Glycine,Histidine,Hydroxyproline,"Iron, Fe",Isoleucine,Lactose,Leucine,Lipids,Lutein + zeaxanthin,Lycopene,Lysine,MUFA 14:1,MUFA 15:1,MUFA 16:1,MUFA 16:1 c,MUFA 17:1,MUFA 18:1,MUFA 18:1 c,MUFA 20:1,MUFA 22:1,MUFA 22:1 c,MUFA 24:1 c,"Magnesium, Mg",Maltose,"Manganese, Mn",Methionine,Minerals,Niacin,Nitrogen,PUFA 18:2,PUFA 18:2 CLAs,"PUFA 18:2 n-6 c,c",PUFA 18:3,"PUFA 18:3 n-3 c,c,c (ALA)","PUFA 18:3 n-6 c,c,c",PUFA 18:3i,PUFA 18:4,"PUFA 20:2 n-6 c,c",PUFA 20:3,PUFA 20:3 n-3,PUFA 20:3 n-6,PUFA 20:4,PUFA 20:4 n-6,PUFA 20:5 n-3 (EPA),PUFA 22:4,PUFA 22:5 n-3 (DPA),PUFA 22:6 n-3 (DHA),Pantothenic acid,Phenylalanine,"Phosphorus, P",Phytosterols,"Potassium, K",Proline,Protein,Proximates,Retinol,Riboflavin,SFA 10:0,SFA 12:0,SFA 14:0,SFA 15:0,SFA 16:0,SFA 17:0,SFA 18:0,SFA 20:0,SFA 22:0,SFA 24:0,SFA 4:0,SFA 6:0,SFA 8:0,"Selenium, Se",Serine,"Sodium, Na",Starch,Sucrose,"Sugars, Total","Sugars, added",TFA 16:1 t,TFA 18:1 t,TFA 18:2 t not further defined,"TFA 18:2 t,t",TFA 22:1 t,Theobromine,Thiamin,Threonine,"Tocopherol, beta","Tocopherol, delta","Tocopherol, gamma","Tocotrienol, alpha","Tocotrienol, beta","Tocotrienol, delta","Tocotrienol, gamma",Total Sugars,Total lipid (fat),Tryptophan,Tyrosine,Valine,"Vitamin A, IU","Vitamin A, RAE",Vitamin B-12,"Vitamin B-12, added",Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin D (D2 + D3),"Vitamin D (D2 + D3), International Units",Vitamin D2 (ergocalciferol),Vitamin D3 (cholecalciferol),Vitamin E (alpha-tocopherol),"Vitamin E, added",Vitamin K (Dihydrophylloquinone),Vitamin K (Menaquinone-4),Vitamin K (phylloquinone),Vitamins and Other Components,Water,"Zinc, Zn"
Malt drinks,,0.0,0.0,,1.9,,,37.0,60.0,86.94,0.0,0.0,5.0,1.0,27.2,0.2,0.0,,1720.0,,,1.167,0.669,2.381,,,,4.8,50.0,19.0,37.0,18.0,,,,,,,,2.28,,,,0.0,2.0,0.0,,0.0,,0.158,,,0.941,,0.0,0.0,,,70.0,,,,0.0,2.003,,0.583,,,0.085,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,0.316,,175.0,,618.0,,5.1,0.0,32.0,0.2,0.076,0.079,0.362,0.0,1.152,0.0,0.412,0.0,0.0,0.0,0.111,0.031,0.034,6.9,,190.0,,,,,,,,,,345.0,0.173,,,,,,,,,66.67,4.76,,,,117.0,33.0,0.42,0.0,0.156,1.5,0.0,0.0,,,0.17,0.0,,,2.5,0.0,1.3,0.8
"Soft drinks (Coca Cola, spirit, etc)",,0.0,,,,,,9.0,1.0,10.4,,0.0,0.0,0.0,0.3,0.007,0.0,,42.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.02,,,,,0.0,0.0,,,,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,0.0,,0.0,,,0.0,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,,9.0,,5.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.1,,3.0,,,,,,,,,,0.0,0.0,,,,,,,,,9.94,0.25,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,89.4,0.09
Plantains,,0.0,,,,,,0.0,9.0,63.8,,441.0,611.0,0.0,0.0,0.198,0.0,,531.0,,,5.63,11.7,8.34,,,,3.5,35.0,35.0,35.0,0.0,,,,,,,,0.97,,,,,16.0,36.0,,,,0.116,,,5.47,,0.028,0.001,,,71.0,,,,,0.802,,11.6,,,0.078,,,,0.0,,,,,0.001,,0.028,,0.0,0.0,,,78.0,,786.0,,2.28,,0.0,0.04,0.036,0.033,0.21,,7.08,,0.781,,,,0.006,0.001,0.019,0.4,,202.0,,,,,,,,,,0.0,0.065,,,,,,,,,0.92,29.6,,,,,69.0,0.0,0.0,0.46,32.1,0.0,,,,5.04,0.0,,,28.6,,2.09,0.37
Yam--roots,0.063,0.0,0.0,0.127,0.82,0.155,,0.0,17.0,27.88,0.0,0.0,83.0,0.0,16.5,0.178,0.0,0.019,494.0,,,0.006,0.076,0.037,0.0,,,4.1,23.0,23.0,23.0,0.0,,,,0.181,0.053,0.034,,0.54,0.052,,0.096,0.0,0.0,0.0,0.059,,,0.0,,,0.006,,0.0,0.0,,,21.0,,0.397,0.021,0.0,0.552,,0.064,,,0.012,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,0.314,0.071,55.0,10.0,816.0,0.054,1.53,0.0,0.0,0.032,0.0,0.0,0.0,,0.034,,0.004,,,,0.0,0.0,0.0,0.7,0.081,9.0,,,,,,,,,,0.0,0.112,0.054,,,,,,,,0.5,0.17,0.012,0.04,0.062,138.0,7.0,0.0,0.0,0.293,17.1,0.0,0.0,,,0.35,0.0,,,2.3,0.0,69.6,0.24
Milk powder,,,,,,,,,1292.0,54.17,,,,0.0,,,,,375.0,,,,,0.0,0.0,,,4.2,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1708.0,,33.33,,,,,,,,,,,,,,,,,,,417.0,,,,0.0,,,,,,,,,,,,,,,,45.83,0.0,,,,,,,,,,0.0,,,,,,,,,,,
Chicken,,,,,,,,,0.0,1.18,,,,82.0,,,,,188.0,,,,,2.94,0.0,,,0.0,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.71,,,,,,,,,,,,,,,,,,,353.0,,,,,,,,,,,,,,,,,,,,1.18,9.41,,,,0.0,,,,,0.0,,,,,,,,,,,,
Condiments,,,,,2.05,,,,106.0,14.43,0.0,,,57.0,,0.091,,,1136.0,,,5.855,0.48,6.473,1.005,,,1.0,,,45.0,,1.35,0.0,1.17,,,,,2.18,,0.39,,0.0,,,,,,,,,,,,,,,21.0,0.45,0.133,,0.0,4.213,,,,,,,,,,,,,,,,,,,,,,165.0,,242.0,,16.96,0.0,,0.303,,,,,,,,,,,,,,,,480.0,,0.14,,,,,,,,,0.127,,,,,,,,,3.49,16.22,,,,200.0,,1.68,,,0.6,,,,,,,,,,0.0,50.34,3.33
Tea,,,,,,,,,,8.46,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,8.25,0.0,,,,,,,,,,,,,,,,,,,,,
Sachet water,,0.0,,,,,,0.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,0.0,0.0,,,,0.0,,,0.0,,0.0,0.0,,,1.0,,,,,0.0,,0.0,,,0.0,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,4.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,99.9,0.01
Palm oil,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,3699.0,,,37.0,9.3,49.3,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.01,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.3,,,36.6,,0.1,0.0,,,0.0,,,0.0,0.0,0.0,,9.1,,,0.2,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,,43.5,,4.3,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,15.94,0.0,,,8.0,0.0,0.0,0.0
Chocolate drinks,,0.0,,,,,,1.0,100.0,10.7,,0.0,0.0,0.0,3.3,0.074,0.0,,49.0,,,0.049,0.009,0.31,,,,0.6,1.0,1.0,1.0,0.0,,,,,,,,0.33,,,,,1.0,0.0,,,,0.001,,,0.048,,0.0,0.0,,,11.0,,,,,0.106,,0.008,,,0.0,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,,24.0,,79.0,,0.64,,60.0,0.051,0.002,0.001,0.01,,0.143,,0.139,,,,0.005,0.001,0.001,0.7,,91.0,,,,,,,,,,50.0,0.01,,,,,,,,,8.68,0.4,,,,,60.0,0.06,0.0,0.011,2.0,1.3,,,,0.01,0.0,,,0.1,,87.6,0.16
Milk tinned (unsweetened),,0.0,,,,,,0.0,173.0,0.34,,0.0,0.0,0.0,3.1,0.021,0.0,,15.0,,,0.729,0.276,0.104,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.29,,,,,0.0,0.0,,,,0.006,,,0.721,,0.001,0.0,,,7.0,,,,,0.074,,0.276,,,0.001,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,,30.0,,31.0,,0.55,,41.0,0.033,0.0,0.0,0.002,,0.078,,0.02,,,,0.004,0.0,0.0,0.0,,60.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,1.22,,,,,41.0,0.34,0.34,0.0,0.0,0.9,,,,3.32,3.32,,,0.0,,97.4,0.17
Tomato puree (canned),,,,,1.01,,,,17.64,8.036875,0.0,,,,,0.1227,,,,40.845,34.76031875,,,,,,,1.971,,,,,2.253,,2.06,,,,,1.237,,0.0,,,,,,,,,,,,,,,,,19.33,0.0,0.1396,,0.0,,0.2525,,,,,,,,,,,,,,,,,,,,,34.14,,416.4,,1.578125,0.0,,,,,,,,,,,,,,,,,,29.36,,0.0,4.313,,,,,,,,,,,,,,,,,,0.265,,,,,,,,,10.4,,,,,,,,,,0.0,89.11,0.2084
